SIGLA_INSTITUICAO,NOME_INSTITUICAO,NOME_UNIDADE_ENSINO,ANO,SIGLA_UF_UNIDADE_ENSINO,NOME_MUNICIPIO_UNIDADE_ENSINO
IFPR,Instituto Federal do Paraná,Campus Jacarezinho,2010,PR,Jacarezinho
IFBA,Instituto Federal da Bahia,Campus Jequié,2010,BA,Jequié
IFRO,Instituto Federal de Rondônia,Campus Ji-Paraná,2010,RO,Ji-Paraná
IFMT,Instituto Federal de Mato Grosso,Campus Juína,2010,MT,Juína
IF Farroupilha,Instituto Federal Farroupilha,Campus Júlio de Castilhos,2010,RS,Júlio de Castilhos
IFAM,Instituto Federal do Amazonas,Campus Lábrea,2010,AM,Lábrea
IFSC,Instituto Federal de Santa Catarina,Campus Lages,2010,SC,Lages
IFAP,Instituto Federal do Amapá,Campus Laranjal do Jari,2010,AP,Laranjal do Jari
IFG,Instituto Federal de Goiás,Campus Luziânia,2010,GO,Luziânia
IFAP,Instituto Federal do Amapá,Campus Macapá,2010,AP,Macapá
IFPA,Instituto Federal do Pará,Campus Marabá Rural,2010,PA,Marabá
IFAM,Instituto Federal do Amazonas,Campus Maués,2010,AM,Maués
IFPB,Instituto Federal da Paraíba,Campus Monteiro,2010,PB,Monteiro
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Montes Claros,2010,MG,Montes Claros
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Muriaé,2010,MG,Muriaé
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Nova Andradina,2010,MS,Nova Andradina
IFRS,Instituto Federal do Rio Grande do Sul,Campus Osório,2010,RS,Osório
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Ouricuri,2010,PE,Ouricuri
IF Farroupilha,Instituto Federal Farroupilha,Campus Panambi,2010,RS,Panambi
IFTM,Instituto Federal do Triângulo Mineiro,Campus Paracatu,2010,MG,Paracatu
IFPR,Instituto Federal do Paraná,Campus Paranavaí,2010,PR,Paranavaí
IFAM,Instituto Federal do Amazonas,Campus Parintins,2010,AM,Parintins
IFPB,Instituto Federal da Paraíba,Campus Patos,2010,PB,Patos
IFPI,Instituto Federal do Piauí,Campus Paulistana,2010,PI,Paulistana
IFBA,Instituto Federal da Bahia,Campus Paulo Afonso,2010,BA,Paulo Afonso
IFAL,Instituto Federal de Alagoas,Campus Penedo,2010,AL,Penedo
IFPB,Instituto Federal da Paraíba,Campus Picuí,2010,PB,Picuí
IFMA,Instituto Federal do Maranhão,Campus Pinheiro,2010,MA,Pinheiro
IFSP,Instituto Federal de São Paulo,Campus Piracicaba,2010,SP,Piracicaba
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Pirapora,2010,MG,Pirapora
IFPI,Instituto Federal do Piauí,Campus Piripiri,2010,PI,Piripiri
IFRS,Instituto Federal do Rio Grande do Sul,Campus Porto Alegre Restinga,2010,RS,Porto Alegre
IFTO,Instituto Federal do Tocantins,Campus Porto Nacional,2010,TO,Porto Nacional
IFRO,Instituto Federal de Rondônia,Campus Porto Velho Zona Norte,2010,RO,Porto Velho
IFSP,Instituto Federal de São Paulo,Campus Presidente Epitácio,2010,SP,Presidente Epitácio
IFAM,Instituto Federal do Amazonas,Campus Presidente Figueiredo,2010,AM,Presidente Figueiredo
IFPB,Instituto Federal da Paraíba,Campus Princesa Isabel,2010,PB,Princesa Isabel
IFSP,Instituto Federal de São Paulo,Campus Registro,2010,SP,Registro
IFAC,Instituto Federal do Acre,Campus Rio Branco,2010,AC,Rio Branco
CPII,Colégio Pedro II,Campus Realengo I,2010,RJ,Rio de Janeiro
IFRJ,Instituto Federal do Rio de Janeiro,Campus Realengo,2010,RJ,Rio de Janeiro
IFMT,Instituto Federal de Mato Grosso,Campus Rondonópolis,2010,MT,Rondonópolis
IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Salgueiro,2010,PE,Salgueiro
IFMA,Instituto Federal do Maranhão,Campus Santa Inês - IFMA,2010,MA,Santa Inês
IF Farroupilha,Instituto Federal Farroupilha,Campus Santa Rosa,2010,RS,Santa Rosa
IFPA,Instituto Federal do Pará,Campus Santarém,2010,PA,Santarém
IF Farroupilha,Instituto Federal Farroupilha,Campus São Borja,2010,RS,São Borja
IFRJ,Instituto Federal do Rio de Janeiro,Campus São Gonçalo,2010,RJ,São Gonçalo
IFMA,Instituto Federal do Maranhão,Campus São João dos Patos,2010,MA,São João dos Patos
IFMA,Instituto Federal do Maranhão,Campus São Luís Centro Histórico,2010,MA,São Luís
IFSC,Instituto Federal de Santa Catarina,Campus São Miguel do Oeste,2010,SC,São Miguel do Oeste
IFMA,Instituto Federal do Maranhão,Campus São Raimundo das Mangabeiras,2010,MA,São Raimundo das Mangabeiras
IFPI,Instituto Federal do Piauí,Campus São Raimundo Nonato,2010,PI,São Raimundo Nonato
IFBA,Instituto Federal da Bahia,Campus Seabra,2010,BA,Seabra
IFAC,Instituto Federal do Acre,Campus Sena Madureira,2010,AC,Sena Madureira
IFSP,Instituto Federal de São Paulo,Campus Suzano,2010,SP,Suzano
IFAM,Instituto Federal do Amazonas,Campus Tabatinga,2010,AM,Tabatinga
IF Baiano,Instituto Federal Baiano,Campus Teixeira de Freitas,2010,BA,Teixeira de Freitas
IFPR,Instituto Federal do Paraná,Campus Telêmaco Borba,2010,PR,Telêmaco Borba
IFPI,Instituto Federal do Piauí,Campus Teresina Zona Sul,2010,PI,Teresina
IFMA,Instituto Federal do Maranhão,Campus Timon,2010,MA,Timon
IFTM,Instituto Federal do Triângulo Mineiro,Campus Uberlândia,2010,MG,Uberlândia
IFPR,Instituto Federal do Paraná,Campus Umuarama,2010,PR,Umuarama
IFPI,Instituto Federal do Piauí,Campus Uruçuí,2010,PI,Uruçuí
IF Baiano,Instituto Federal Baiano,Campus Valença,2010,BA,Valença
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Varginha,2010,MG,Varginha
IFC,Instituto Federal Catarinense,Campus Videira,2010,SC,Videira
IFES,Instituto Federal do Espírito Santo,Campus Vila Velha,2010,ES,Vila Velha
IFRO,Instituto Federal de Rondônia,Campus Vilhena,2010,RO,Vilhena
IFSP,Instituto Federal de São Paulo,Campus Votuporanga,2010,SP,Votuporanga
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Aquidauana,2011,MS,Aquidauana
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Campo Grande,2011,MS,Campo Grande
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Corumbá,2011,MS,Corumbá
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Coxim,2011,MS,Coxim
IFBA,Instituto Federal da Bahia,Campus Feira de Santana,2011,BA,Feira de Santana
IFBA,Instituto Federal da Bahia,Campus Ilhéus,2011,BA,Ilhéus
IFBA,Instituto Federal da Bahia,Campus Jacobina,2011,BA,Jacobina
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Ponta Porã,2011,MS,Ponta Porã
IFMS,Instituto Federal de Mato Grosso do Sul,Campus Três Lagoas,2011,MS,Três Lagoas
IF Baiano,Instituto Federal Baiano,Campus Uruçuca,2011,BA,Uruçuca
IFSul,Instituto Federal Sul-rio-grandense,Campus Venâncio Aires,2011,RS,Venâncio Aires
IFG,Instituto Federal de Goiás,Campus Aparecida de Goiânia,2012,GO,Aparecida de Goiânia
CPII,Colégio Pedro II,Campus Duque de Caxias CP,2012,RJ,Duque de Caxias
IFG,Instituto Federal de Goiás,Campus Cidade de Goiás,2012,GO,Goiás
IFAL,Instituto Federal de Alagoas,Campus Piranhas,2012,AL,Piranhas
IFCE,Instituto Federal do Ceará,Campus Aracati,2013,CE,Aracati
IFRJ,Instituto Federal do Rio de Janeiro,Campus Arraial do Cabo,2013,RJ,Arraial do Cabo
IFPR,Instituto Federal do Paraná,Campus Assis Chateaubriand,2013,PR,Assis Chateaubriand
IFCE,Instituto Federal do Ceará,Campus Baturité,2013,CE,Baturité
IFMG,Instituto Federal de Minas Gerais,Campus Betim,2013,MG,Betim
IFC,Instituto Federal Catarinense,Campus Blumenau,2013,SC,Blumenau
IFRR,Instituto Federal de Roraima,Campus Boa Vista Zona Oeste,2013,RR,Boa Vista
IFSP,Instituto Federal de São Paulo,Campus Boituva,2013,SP,Boituva
IFB,Instituto Federal de Brasília,Campus Ceilândia,2013,DF,Brasília
IFB,Instituto Federal de Brasília,Campus Estrutural,2013,DF,Brasília
IFB,Instituto Federal de Brasília,Campus Recanto das Emas,2013,DF,Brasília
IFB,Instituto Federal de Brasília,Campus Riacho Fundo,2013,DF,Brasília
IFB,Instituto Federal de Brasília,Campus São Sebastião,2013,DF,Brasília
IFPA,Instituto Federal do Pará,Campus Breves,2013,PA,Breves
IFBA,Instituto Federal da Bahia,Campus Brumado,2013,BA,Brumado
IFC,Instituto Federal Catarinense,Campus Brusque,2013,SC,Brusque
IFPE,Instituto Federal de Pernambuco,Campus Cabo de Santo Agostinho,2013,PE,Cabo de Santo Agostinho
IFSC,Instituto Federal de Santa Catarina,Campus Caçador,2013,SC,Caçador
IFRO,Instituto Federal de Rondônia,Campus Cacoal,2013,RO,Cacoal
IFCE,Instituto Federal do Ceará,Campus Camocim,2013,CE,Camocim
IFPR,Instituto Federal do Paraná,Campus Campo Largo,2013,PR,Campo Largo
IFRN,Instituto Federal do Rio Grande do Norte,Campus Canguaretama,2013,RN,Canguaretama
IFSP,Instituto Federal de São Paulo,Campus Capivari,2013,SP,Capivari
IFCE,Instituto Federal do Ceará,Campus Caucaia,2013,CE,Caucaia
IFRN,Instituto Federal do Rio Grande do Norte,Campus Ceará-Mirim,2013,RN,Ceará-Mirim
IFMA,Instituto Federal do Maranhão,Campus Coelho Neto,2013,MA,Coelho Neto
IFTO,Instituto Federal do Tocantins,Campus Dianópolis,2013,TO,Dianópolis
IFRJ,Instituto Federal do Rio de Janeiro,Campus Engenheiro Paulo de Frontin,2013,RJ,Engenheiro Paulo de Frontin
IFRS,Instituto Federal do Rio Grande do Sul,Campus Farroupilha,2013,RS,Farroupilha
IFRS,Instituto Federal do Rio Grande do Sul,Campus Feliz,2013,RS,Feliz
IFC,Instituto Federal Catarinense,Campus Fraiburgo,2013,SC,Fraiburgo
IFSC,Instituto Federal de Santa Catarina,Campus Garopaba,2013,SC,Garopaba
IF Baiano,Instituto Federal Baiano,Campus Governador Mangabeira,2013,BA,Governador Mangabeira
IFMA,Instituto Federal do Maranhão,Campus Grajaú,2013,MA,Grajaú
IFSul,Instituto Federal Sul-rio-grandense,Campus Gravataí,2013,RS,Gravataí
IFPB,Instituto Federal da Paraíba,Campus Guarabira,2013,PB,Guarabira
IFES,Instituto Federal do Espírito Santo,Campus Guarapari,2013,ES,Guarapari
IFAM,Instituto Federal do Amazonas,Campus Humaitá,2013,AM,Humaitá
IFC,Instituto Federal Catarinense,Campus Ibirama,2013,SC,Ibirama
IFRS,Instituto Federal do Rio Grande do Sul,Campus Ibirubá,2013,RS,Ibirubá
IFPR,Instituto Federal do Paraná,Campus Irati,2013,PR,Irati
IFPR,Instituto Federal do Paraná,Campus Ivaiporã,2013,PR,Ivaiporã
IFPE,Instituto Federal de Pernambuco,Campus Jaboatão dos Guararapes,2013,PE,Jaboatão dos Guararapes
IF Farroupilha,Instituto Federal Farroupilha,Campus Jaguari,2013,RS,Jaguari
IFCE,Instituto Federal do Ceará,Campus Jaguaribe,2013,CE,Jaguaribe
IFSC,Instituto Federal de Santa Catarina,Campus Jaraguá do Sul Rau,2013,SC,Jaraguá do Sul
IFSul,Instituto Federal Sul-rio-grandense,Campus Lajeado,2013,RS,Lajeado
IFPR,Instituto Federal do Paraná,Campus Londrina,2013,PR,Londrina
IFC,Instituto Federal Catarinense,Campus Luzerna,2013,SC,Luzerna
IFSP,Instituto Federal de São Paulo,Campus Matão,2013,SP,Matão
IFCE,Instituto Federal do Ceará,Campus Morada Nova,2013,CE,Morada Nova
IFRN,Instituto Federal do Rio Grande do Norte,Campus Natal Cidade Alta,2013,RN,Natal
IFRN,Instituto Federal do Rio Grande do Norte,Campus Nova Cruz,2013,RN,Nova Cruz
IFPA,Instituto Federal do Pará,Campus Óbidos,2013,PA,Óbidos
IFPI,Instituto Federal do Piauí,Campus Oeiras,2013,PI,Oeiras
IFMG,Instituto Federal de Minas Gerais,Campus Ouro Branco,2013,MG,Ouro Branco
IFSC,Instituto Federal de Santa Catarina,Campus Palhoça,2013,SC,Palhoça
IFPR,Instituto Federal do Paraná,Campus Palmas - IFPR,2013,PR,Palmas
IFRN,Instituto Federal do Rio Grande do Norte,Campus Parnamirim,2013,RN,Parnamirim
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Passos,2013,MG,Passos
IFTM,Instituto Federal do Triângulo Mineiro,Campus Patos de Minas,2013,MG,Patos de Minas
IFTM,Instituto Federal do Triângulo Mineiro,Campus Patrocínio,2013,MG,Patrocínio
IFMA,Instituto Federal do Maranhão,Campus Pedreiras,2013,MA,Pedreiras
IFPI,Instituto Federal do Piauí,Campus Pedro II,2013,PI,Pedro II
IFSul,Instituto Federal Sul-rio-grandense,Campus Pelotas Visconde da Graça,2013,RS,Pelotas
IFES,Instituto Federal do Espírito Santo,Campus Piúma,2013,ES,Piúma
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Poços de Caldas,2013,MG,Poços de Caldas
IFRO,Instituto Federal de Rondônia,Campus Porto Velho Calama,2013,RO,Porto Velho
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Pouso Alegre,2013,MG,Pouso Alegre
IFMT,Instituto Federal de Mato Grosso,Campus Primavera do Leste,2013,MT,Primavera do Leste
IFF,Instituto Federal Fluminense,Campus Quissamã,2013,RJ,Quissamã
IFMG,Instituto Federal de Minas Gerais,Campus Ribeirão das Neves,2013,MG,Ribeirão das Neves
IFMG,Instituto Federal de Minas Gerais,Campus Sabará,2013,MG,Sabará
IFMG,Instituto Federal de Minas Gerais,Campus Santa Luzia - IFMG,2013,MG,Santa Luzia
IFAL,Instituto Federal de Alagoas,Campus Santana do Ipanema,2013,AL,Santana do Ipanema
IFSul,Instituto Federal Sul-rio-grandense,Campus Santana do Livramento,2013,RS,Sant'Ana do Livramento
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Santos Dumont,2013,MG,Santos Dumont
IFSC,Instituto Federal de Santa Catarina,Campus São Carlos - IFSC,2013,SC,São Carlos
IFC,Instituto Federal Catarinense,Campus São Francisco do Sul,2013,SC,São Francisco do Sul
IFRN,Instituto Federal do Rio Grande do Norte,Campus São Gonçalo do Amarante,2013,RN,São Gonçalo do Amarante
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus São João del Rei,2013,MG,São João del-Rei
IFPI,Instituto Federal do Piauí,Campus São João do Piauí,2013,PI,São João do Piauí
IFSP,Instituto Federal de São Paulo,Campus São José dos Campos,2013,SP,São José dos Campos
IFAL,Instituto Federal de Alagoas,Campus São Miguel dos Campos,2013,AL,São Miguel dos Campos
IFRN,Instituto Federal do Rio Grande do Norte,Campus São Paulo do Potengi,2013,RN,São Paulo do Potengi
IFSul,Instituto Federal Sul-rio-grandense,Campus Sapiranga,2013,RS,Sapiranga
IFMT,Instituto Federal de Mato Grosso,Campus Sorriso,2013,MT,Sorriso
IFCE,Instituto Federal do Ceará,Campus Tabuleiro do Norte,2013,CE,Tabuleiro do Norte
IFAC,Instituto Federal do Acre,Campus Tarauacá,2013,AC,Tarauacá
CPII,Colégio Pedro II,Campus São Cristóvão II,1888,RJ,Rio de Janeiro
IFS,Instituto Federal de Sergipe,Campus Aracaju,1909,SE,Aracaju
IFPA,Instituto Federal do Pará,Campus Belém,1909,PA,Belém
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Unidade Belo Horizonte,1909,MG,Belo Horizonte
IFF,Instituto Federal Fluminense,Campus Campos Centro,1909,RJ,Campos dos Goytacazes
IFPB,Instituto Federal da Paraíba,Campus João Pessoa,1909,PB,Coronel João Pessoa
IFMT,Instituto Federal de Mato Grosso,Campus Cuiabá,1909,MT,Cuiabá
IFSC,Instituto Federal de Santa Catarina,Campus Florianópolis,1909,SC,Florianópolis
IFCE,Instituto Federal do Ceará,Campus Fortaleza,1909,CE,Fortaleza
IFAL,Instituto Federal de Alagoas,Campus Maceió,1909,AL,Maceió
IFAM,Instituto Federal do Amazonas,Campus Manaus Centro,1909,AM,Manaus
IFRN,Instituto Federal do Rio Grande do Norte,Campus Natal Central,1909,RN,Natal
IFRS,Instituto Federal do Rio Grande do Sul,Campus Porto Alegre,1909,RS,Porto Alegre
IFBA,Instituto Federal da Bahia,Campus Salvador,1909,BA,Salvador
IFMA,Instituto Federal do Maranhão,Campus São Luís Monte Castelo,1909,MA,São Luís
IFSP,Instituto Federal de São Paulo,Campus São Paulo,1909,SP,São Paulo
IFPI,Instituto Federal do Piauí,Campus Teresina Central,1909,PI,Teresina
IFES,Instituto Federal do Espírito Santo,Campus Vitória,1909,ES,Vitória
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Barbacena,1910,MG,Barbacena
IFAL,Instituto Federal de Alagoas,Campus Satuba,1911,AL,Satuba
CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Unidade Maracanã,1917,RJ,Rio de Janeiro
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Inconfidentes,1918,MG,Inconfidentes
IFPA,Instituto Federal do Pará,Campus Castanhal,1921,PA,Castanhal
IFRJ,Instituto Federal do Rio de Janeiro,Campus Pinheiral,1934,RJ,Pinheiral
CPII,Colégio Pedro II,Campus Centro,1938,RJ,Rio de Janeiro
IFAM,Instituto Federal do Amazonas,Campus Manaus Zona Leste,1940,AM,Manaus
IFES,Instituto Federal do Espírito Santo,Campus Santa Teresa,1940,ES,Santa Teresa
IFG,Instituto Federal de Goiás,Campus Goiânia,1942,GO,Goiânia
IFMG,Instituto Federal de Minas Gerais,Campus Ouro Preto,1942,MG,Ouro Preto
IFSul,Instituto Federal Sul-rio-grandense,Campus Pelotas,1942,RS,Pelotas
IFMT,Instituto Federal de Mato Grosso,Campus São Vicente,1943,MT,Santo Antônio de Leverger
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Juiz de Fora,1946,MG,Juiz de Fora
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Machado,1946,MG,Machado
IFS,Instituto Federal de Sergipe,Campus São Cristóvão,1946,SE,São Cristóvão
IFPB,Instituto Federal da Paraíba,Campus Sousa,1946,PB,Sousa
IFES,Instituto Federal do Espírito Santo,Campus Alegre,1947,ES,Alegre
IFES,Instituto Federal do Espírito Santo,Campus Itapina,1947,ES,Colatina
IFCE,Instituto Federal do Ceará,Campus Crato,1947,CE,Crato
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Salinas,1947,MG,Salinas
IFMA,Instituto Federal do Maranhão,Campus São Luís Maracanã,1947,MA,São Luís
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Muzambinho,1948,MG,Muzambinho
IFMG,Instituto Federal de Minas Gerais,Campus São João Evangelista,1951,MG,São João Evangelista
CPII,Colégio Pedro II,Campus Engenho Novo II,1952,RJ,Rio de Janeiro
CPII,Colégio Pedro II,Campus Humaitá II,1952,RJ,Rio de Janeiro
IFC,Instituto Federal Catarinense,Campus Camboriú,1953,SC,Camboriú
IF Goiano,Instituto Federal Goiano,Campus Urutaí,1953,GO,Urutaí
IFC,Instituto Federal Catarinense,Campus Araquari,1954,SC,Araquari
IFTM,Instituto Federal do Triângulo Mineiro,Campus Uberaba,1954,MG,Uberaba
IF Farroupilha,Instituto Federal Farroupilha,Campus Frederico Westphalen,1957,RS,Frederico Westphalen
CPII,Colégio Pedro II,Campus Tijuca II,1957,RJ,Rio de Janeiro
IFRS,Instituto Federal do Rio Grande do Sul,Campus Sertão,1957,RS,Sertão
IFRS,Instituto Federal do Rio Grande do Sul,Campus Bento Gonçalves,1959,RS,Bento Gonçalves
IFNMG,Instituto Federal do Norte de Minas Gerais,Campus Januária,1960,MG,Januária
IFCE,Instituto Federal do Ceará,Campus Iguatu,1962,CE,Iguatu
IF Farroupilha,Instituto Federal Farroupilha,Campus Alegrete,1964,RS,Alegrete
IF Baiano,Instituto Federal Baiano,Campus Catu,1964,BA,Catu
IFRS,Instituto Federal do Rio Grande do Sul,Campus Rio Grande,1964,RS,Rio Grande
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Campus Rio Pomba,1964,MG,Rio Pomba
IFC,Instituto Federal Catarinense,Campus Concórdia,1967,SC,Concórdia
IFMG,Instituto Federal de Minas Gerais,Campus Bambuí,1968,MG,Bambuí
IF Goiano,Instituto Federal Goiano,Campus Rio Verde,1968,GO,Rio Verde
